contest-tmp2m-14d__tmp2m,index
27.727075697054204,375734
27.63588042867201,375735
27.39059440445004,375736
27.2656694114944,375737
27.212049427919567,375738
27.38346594747344,375739
27.247454334914778,375740
27.05085328444659,375741
26.8834707181648,375742
26.828671934826673,375743
26.836779810323947,375744
27.07056660276055,375745
26.796874152893622,375746
26.270711603794894,375747
25.983833246062204,375748
25.888328474140337,375749
25.59311016884385,375750
25.217403300650687,375751
24.85073385459424,375752
24.32970792327592,375753
24.134162281804834,375754
24.161648030061542,375755
24.49407762787189,375756
24.36934733051112,375757
24.004139051641232,375758
23.63621528293561,375759
23.643582292860856,375760
23.808436837689158,375761
23.796034944912606,375762
23.704447927075933,375763
23.803533061154496,375764
23.994214971470797,375765
24.07340134316979,375766
24.301118233274167,375767
24.383269408985143,375768
24.316040915554254,375769
24.593786564378718,375770
24.088333778176775,375771
23.99414389001862,375772
24.09016261441036,375773
24.21180835096277,375774
24.138264521515794,375775
24.17825849948008,375776
24.188984840637943,375777
24.185788120730763,375778
24.20392128588668,375779
24.158562105469684,375780
24.03672494807506,375781
23.862213436375043,375782
23.747945127776006,375783
23.726424843964082,375784
23.989809697493627,375785
23.738136034193985,375786
23.688528272994745,375787
23.60774752583842,375788
23.3746743988238,375789
22.7358290611661,375790
22.0898991535023,375791
21.448874622638982,375792
20.686733689803987,375793
20.20241129334147,375794
27.842322101106163,375795
27.732572489777397,375796
27.49102501702788,375797
27.361949682665283,375798
27.31659265046079,375799
27.51171264924784,375800
27.376252684853227,375801
27.18151888020367,375802
27.035370534835124,375803
26.988871887793778,375804
26.99593841168462,375805
27.217282986177622,375806
27.018274123588185,375807
26.677661477642744,375808
26.401324595233234,375809
26.31937727592299,375810
25.99739075235817,375811
25.590478269201128,375812
25.249864365755172,375813
24.70826852523396,375814
24.51431997596478,375815
24.58765986894008,375816
24.934155231928003,375817
24.780945125363587,375818
24.406389615553735,375819
24.015866764464192,375820
23.907045091984287,375821
23.982232323337882,375822
23.934509447800963,375823
23.784016002429496,375824
23.923253832764146,375825
24.13507310149589,375826
24.228638009816223,375827
24.462149041087002,375828
24.557477342733193,375829
24.494990434121007,375830
24.666643882486824,375831
24.153747455601433,375832
24.05142464635452,375833
24.133233025519417,375834
24.251350882894144,375835
24.16117452189428,375836
24.170796363204374,375837
24.17015057313165,375838
24.152374908460445,375839
24.166163346117685,375840
24.113307179572246,375841
23.98049490971016,375842
23.82946880638417,375843
23.745633041441977,375844
23.748923017922493,375845
24.028526106550828,375846
23.729595281647562,375847
23.726541895073467,375848
23.71469566160988,375849
23.469332834236866,375850
22.861150376110118,375851
22.251616583373504,375852
21.61843498287709,375853
20.915313015281924,375854
20.455954158965937,375855
28.48313932734095,375856
28.31350367121661,375857
28.040298255502137,375858
27.877409051212283,375859
27.795187458804776,375860
27.89142727417419,375861
27.776490082284283,375862
27.568013100352232,375863
27.35530812072153,375864
27.238863162555788,375865
27.22973349416884,375866
27.408272218836032,375867
26.898877645431696,375868
26.45488242081757,375869
26.20153014109661,375870
26.109056091959246,375871
25.750034878686222,375872
25.38551743709712,375873
24.997578181155234,375874
24.37547979761979,375875
24.111038094148114,375876
24.078152143398825,375877
24.4729757710287,375878
24.310762765917787,375879
23.83481782167479,375880
23.411164011837627,375881
23.609206472478434,375882
23.787377782128715,375883
23.765237076569065,375884
23.657672263621407,375885
23.836518333284403,375886
24.077701543269313,375887
24.256977837051295,375888
24.591693203406237,375889
